,0
137,"['rt', 'malumstrashcan', 'michael5sos', 'hi', 'would', 'enjoy', 'spare', 'follow', 'one', 'give']"
138,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
139,"['leafhvrricane', 'lee', 'enthusiast', 'moot', 'im', 'familiar', 'enjoy', 'seeing', 'tl']"
140,"['tyler_casper', 'like', 'privacy', 'much', 'enjoy', 'visiting', 'strangers', 'donu2019t', 'want', 'close', 'quarters']"
141,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
142,"['marcus_sniffles', 'dream_chaser12i', 'want', 'good', 'team', 'itu2019s', 'hard', 'enjoy']"
143,"['rock', '202with', 'radio', 'rock', 'enjoy', 'listening', 'sharp', 'dressed', 'man', 'zz', 'top', 'get', 'paid', 'httpstcookwxacu8as', 'clicku202httpstcoz61bx7sxqn']"
144,"['sweets_charity', 'thecaramarlo', 'good', 'enjoy', 'smiles', 'thanks', 'follow', 'ud83dude0a']"
145,"['rt', 'fdlm3incase', 'missed', 'fantastic', 'matchnliverpool', '2atleticonnplease', 'enjoy', 'goalsud83dudd25ud83dude0dnnvia', 'top5vid', 'nnlivatl', 'nn', 'httpstcu2026']"
146,"['rt', 'caratmom_100this', 'love', 'boys', 'fun', 'watch', 'genuinely', 'enjoy', 'others', 'company', 'one', 'funniestu2026']"
147,"['binnassema', 'febiill', 'yemendata', 'wfp', 'okay', 'bro', 'enjoy', 'u0627u0644u062du0648u062bu064a', 'ud83eudd2a']"
148,"['rt', 'visaboyy', 'incase', 'missed', 'fantastic', 'matchnliverpool', '2atleticonnplease', 'enjoy', 'goalsud83dudd25ud83dude0dnnvia', 'top5vid', 'nnlivatl', 'nn', 'httpstu2026']"
149,"['brittanyspectac', 'cafreviews_com', 'appreciate', 'calling', 'guarantees', 'enjoy', 'ensure', 'tu202httpstcojcwju9vxtz']"
150,"['rt', 'mikomihokina', 'like', 'esdeath', 'set', 'yesterday', 'nnit', 'ddl', '50k', 'times', 'incrediblennyou', 'enjoy', 'anu2026']"
151,"['rt', 'evanshanks', 'tx2k', 'might', 'ok', 'since', 'theyu2019re', 'little', 'ways', 'outside', 'city', 'iu2019ll', 'get', 'face', 'mask', 'go', 'enjoy', 'racing', 'ud83dude02']"
152,"['sarabethpollock', 'people', 'care', 'iu2019m', 'glad', 'enjoy', 'ice', 'cream', 'soon']"
153,"['itu2019s', 'time', 'work', 'iu2019m', 'going', 'enjoy', 'work', 'much', 'tweet', 'later']"
154,"['rt', 'msubigguy', 'rt', 'youu2019d', 'enjoy', 'fucking', 'big', 'ass', 'harness', 'included', 'extra', 'grip', 'gaychub', 'httpstcopkxwwvte0v']"
155,"['rt', 'bonditobasic', 'queensland', 'enjoy', 'experience', 'seeing', 'kangaroos', 'wallabies', 'beautiful', 'setting', 'place', 'need', 'go', 'cu2026']"
156,"['rt', 'jpophappenings', 'jpop', 'company', 'decided', 'put', 'artists', 'concerts', 'youtube', 'people', 'enjoy', 'home', 'staying', 'safeu2026']"
157,"['rt', 'femmeenergy', 'u201ctime', 'enjoy', 'wasting']"
158,"['pretty', 'sure', 'iu2019d', 'enjoy', 'self', 'quarantine', 'everyone', 'leave', 'alone', 'send', 'pizza', 'white', 'claws']"
159,"['please', 'enjoy', 'video', 'dog']"
160,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
