0,['hey\\ud83d\\ude0btoday'],['prepared'],['hot'],['\\ud83d\\udd25game'],['private'],['messages\\ud83d\\udc8c\\ud83e\\udd2d\\ud83e\\udd2b\\ud83d\\udc45\\ud83c\\udf46'],"[""'ll""]",['wait'],['you\\ud83d\\udca6\\ud83d\\ude08\\ud83d\\udc8b\\ud83d\\udd1e\\ud83d\\udc4subscribe'],,,,,,,,,,,,,,
115,['\\u2018the'],['golden'],['eternity\\u201is'],['term'],['resonated'],['years'],['ago'],['continue'],['espouse'],['today'],['happy'],['bihday'],['g\\u2026'],"[""''""]",,,,,,,,,
116,['really'],['feeling'],['today'],"[""''""]",,,,,,,,,,,,,,,,,,,
117,['illinois'],['today'],['request'],['vote'],['mail'],['ballot'],['takes'],['minutes'],,,,,,,,,,,,,,,
118,['days'],['left'],['\\n\\nsign'],['online'],['diy'],['money'],['town'],['fc'],['lotto'],['go\\u202'],,,,,,,,,,,,,
119,['behavior'],['going'],"[""'s""]",['looking'],['like'],['devil'],['must'],['getting'],['worshipped'],['lot'],"[""''""]",,,,,,,,,,,,
120,['vs'],['melrose-mindoro'],['high'],['school'],['girls'],['basketball'],['playoffs'],['202live'],['stream\\nlive'],,,,,,,,,,,,,,
121,['sanctions'],['iranians'],['literally'],['wreaking'],['havoc'],['country'],['theory'],['medical'],['supplies'],['pa'],,,,,,,,,,,,,
122,['anybody'],['need'],['dollar'],['two'],['woke'],['good'],['mood'],,,,,,,,,,,,,,,,
123,['days'],['ago'],['bolsonaro'],['said'],['coronavirus'],['fears'],['\\u20today'],['top'],['aide'],['tested'],['positive'],['amp'],['got'],['tested'],['a\\u2026'],"[""''""]",,,,,,,
124,['juniper'],['sensitivity'],['ceainly'],['feeling'],['pollen'],['counts'],['juniper'],['high'],['medium'],['recently'],['as\\u2026'],"[""''""]",,,,,,,,,,,
125,['socialist'],['society'],['would'],['deal'],['pandemic'],"[""n't""]",['come'],['work'],['today'],"[""'s""]",['chill'],['enjoy'],['free'],['access'],['to\\u2026'],"[""''""]",,,,,,,
126,['events'],['today'],['\\n4x200'],['top'],['time'],['region'],['\\n300h'],['5~'],['season'],['best\\n4x400'],['split'],['s\\u202'],,,,,,,,,,,
127,['poer'],['hero'],['proud'],['voted'],['office'],['relentless'],['questioning'],['resulted'],['i\\u202'],,,,,,,,,,,,,,
128,['serebii'],['reminder'],['pok\\u00e9mon'],['bank'],['free'],['trial'],['celebrate'],['launch'],['pok\\u00e9mon'],['home'],['due'],['end'],['today'],['\\n\\'],,,,,,,,,
129,['ready'],['walk'],['class'],['it\\u2019s'],['boringggggg'],['much'],['talking'],['today'],"[""''""]",,,,,,,,,,,,,,
130,['means'],['much'],['wish'],['good'],['luck'],['say'],['today'],['really'],,,,,,,,,,,,,,,
131,['sister'],['bought'],['call'],['star'],['girl'],['today'],['\\ud83d\\ude0d\\ud83d\\ude0d'],"[""''""]",,,,,,,,,,,,,,,
132,['see'],['today'],['thank'],['fkn'],['god'],['\\u2763\\ufe0f'],"[""''""]",,,,,,,,,,,,,,,,
133,['retweeting'],['moe'],['good'],,,,,,,,,,,,,,,,,,,,
134,['years'],['ago'],['today'],['gain'],['released'],['fouh'],['ep'],,,,,,,,,,,,,,,,
135,['1\\/'],['joke'],['today'],['one'],['last'],['acts'],['suspending'],['tomorrow'],['due'],['coronavirus'],,,,,,,,,,,,,
136,['days'],['ago'],['bolsonaro'],['said'],['coronavirus'],['fears'],['\\u20today'],['top'],['aide'],['tested'],['positive'],['amp'],['got'],['tested'],['a\\u2026'],"[""''""]",,,,,,,
137,"[""'m""]",['daily'],['mile'],['run'],['around'],['lake'],['outside'],['home'],['first'],['time'],['today'],,,,,,,,,,,,
138,['like'],['feeling'],['appreciated'],['like'],['someone'],['finds'],['funny'],['really'],['like'],['someone'],['make'],['genuinely'],,,,,,,,,,,
139,['decided'],['wear'],['natural'],['hair'],['work'],['first'],['time'],['today'],['walked'],['older'],['yt'],['male'],['coworker'],['says\\u2026'],"[""''""]",,,,,,,,
140,['illinois'],['today'],['request'],['vote'],['mail'],['ballot'],['takes'],['minutes'],,,,,,,,,,,,,,,
141,['tomorrow'],['isn\\u2019t'],['promised'],['get'],['cheeks'],['clapped'],['today'],"[""''""]",,,,,,,,,,,,,,,
142,['today'],['drunk'],['can\\u2019t'],['tell'],['it\\u2019s'],['cruise'],['ship'],['movin'],['liq'],['liq'],['talkin'],['\\ud83d\\ude05\\ud83d\\ude02'],"[""''""]",,,,,,,,,,
143,['time'],['visiting'],['chorus'],['class'],['today'],['prepared'],['afine'],['showcase'],['great'],['crow\\u202'],,,,,,,,,,,,,
144,['dumbass'],['thought'],['could'],['175lb\\u2019s'],['every'],['machine'],['amp'],['23on'],['leg'],['press'],['gym'],['today'],['amp'],['legs'],['huing'],['\\ud83d\\ude2d'],"[""''""]",,,,,,
145,['spots'],['higher'],['yesterday'],"[""'re""]",['number'],['today'],"[""'s""]",['myx'],['daily'],['top'],['ten'],['\\n\\ndi'],['ba'],['kaya'],['natin'],['pag'],['nagtutulungan'],['vo\\u2026'],"[""''""]",,,,
146,['great'],['deal'],['mummies'],"[""''""]",,,,,,,,,,,,,,,,,,,
