,0
143,"['makes', 'sad', 'amp', 'happy', 'time', 'ahaha', 'ily', 'skz']"
144,"['vindicator72i', 'wiped', 'away', 'tear', 'im', 'happy', 'hear', 'make', 'ig']"
145,"['rt', 'kolbierashell', 'attractive', 'thing', 'goofiness', 'wan', 'na', 'spend', 'rest', 'life', 'genuinely', 'happy', 'making', 'lau2026']"
146,"['rt', 'truetorontogirl', 'makes', 'happy', 'make', 'least', 'people', 'laugh']"
147,"['rt', 'yoongifur', 'spooky', 'finally', 'got', 'happy', 'ending', 'deserved']"
148,"['rt', '_ster_ling', 'kwabena_quitsin', 'happy', 'birthday', 'g', 'oofeetso', 'president', 'lmfao', 'ive', 'seeing', 'around', 'often']"
149,"['agirlinphilly', 'iu2019m', 'alive', 'iu2019m', 'happy']"
150,"['rt', 'chrodvgood', 'morning', 'yes', 'good', 'morning', 'kasi', 'di', 'ako', 'nakapasok', 'hahahaha', 'anyways', 'lets', 'start', 'day', 'happy', 'yang', 'mga', 'issue', 'na', 'yu2026']"
151,"['rt', 'theemiljay', 'happy', 'one', 'year', 'anniversary', 'daves', 'give', 'want', 'promo']"
152,"['cant', 'watch', 'videos', 'beautiful', 'stray', 'animals', 'horrible', 'sad', 'conditions', 'without', 'sobbing', 'like', 'happy', 'eu202httpstcokfslhnf0z1']"
153,"['rt', 'softandworm', 'marianne', 'von', 'edmund', 'hope', 'youre', 'happy', 'thriving', 'smiling', 'saying', 'cheese', 'time']"
154,"['itsdannyjones', 'happy', 'birthday', 'boo', 'see', 'soon', 'x']"
155,"['rt', 'alyssa_schoener', 'youu2019re', 'happy', 'college', 'switching', 'online', 'classes', 'ur', 'friends', 'spend', 'rest', 'su2026']"
156,"['rt', 'yourgaybuddy', 'keep', 'twinks', 'happynud83dude0dud83dude0dud83dude0d', 'httpstcogq1ni43wmb']"
157,"['rt', 'kolbierashell', 'attractive', 'thing', 'goofiness', 'wan', 'na', 'spend', 'rest', 'life', 'genuinely', 'happy', 'making', 'lau2026']"
158,"['found', 'stash', 'happy', 'hippos']"
159,"['rt', 'adonis_jimin', 'u201ctbh', 'live', 'age', 'many', 'seem', 'find', 'hard', 'happy', 'othersu201success']"
160,"['rt', 'alyssa_schoener', 'youu2019re', 'happy', 'college', 'switching', 'online', 'classes', 'ur', 'friends', 'spend', 'rest', 'su2026']"
161,"['rt', 'marty_mush', 'trying', 'make', 'happy', 'bc', 'basketball', 'making', 'sad', 'httpstcorpabo4ww8k']"
162,"['rt', 'mxkayo', 'u00c7a', 'manque', 'les', 'dates', 'ou00ftu', 'rentres', 'chez', 'toi', 'trop', 'happy', 'ud83eudd71ud83eudd71ud83eudd71ud83eudd71ud83eudd71']"
163,"['rt', 'popsters_ofcl', 'popsters', 'happy', 'moirarachellenwe', 'rights', 'question', 'unique', 'talent', 'big', 'contribution', 'foru2026']"
164,"['rt', 'maryamhasnaa', 'happy', 'donu2019t', 'see', 'world', 'lens', 'thinking', 'people', 'trying', 'test', 'timeu2026']"
165,"['rt', 'thekpopsis', 'weu2019re', 'happy', 'part', 'sponsor', 'sejun', 'cup', 'sleeve', 'event', 'ud83dudc9sadly']"
166,"['hey_itsgrace', 'happy', 'birthday', 'bitchhh', 'ilyud83dudc9eud83dudc9eud83dudc9e', 'turn', 'today', 'httpstco4laqm1wnip']"
167,"['law', 'attraction', 'pisses', 'u', 'mean', 'need', 'pretend', 'happy', 'get', 'things', 'want', 'fuck']"
168,"['rt', 'muhdnajib10i', 'broken', 'used', 'cry', 'alone', 'night', 'thought', 'would', 'never', 'happy', 'probably', 'feel', 'wayu2026']"
169,"['rt', 'sabanfaux', 'iu2019m', 'happy', 'alabamambb', 'elected', 'sit', 'ncaa', 'tournament', 'amidst', 'covid1outbreak', 'truly', 'taking', 'best', 'preu2026']"
170,"['happy', 'see', 'show', 'dont', 'knowhe', 'could', 'pretending', 'nice']"
171,"['rt', 'meemeemoo2divergent', 'happy', 'continue', 'keep', 'account', 'active']"
172,"['rt', 'espnnba', 'anthony', 'davis', 'turns', '2today', 'kingjames', 'wish', 'happy', 'birthday', 'ud83eudd7httpstco5jluuwbonw']"
173,"['rt', 'mermaidmrym', 'itu2019s', 'okay', 'get', 'sad', 'itu2019s', 'okay', 'cry', 'canu2019t', 'happy', '24itu2019s', 'normal', 'feel', 'emotions', 'youu2019re', 'going', 'geu2026']"
174,"['rt', 'sruhle', 'today', 'bunch', 'bank', 'ceos', 'told', 'president', 'america', 'banking', 'crisisnit', 'made', 'happynnewsflashnnu2026']"
175,"['carolinaniners', 'danthe49erfan8so', 'happy', 'hear', 'go', 'niners', 'show', 'pats', 'giving', 'niners', 'gau202httpstcou16kzq4auo']"
176,"['rt', 'bigmoebaseball', 'whou2019s', 'happy', 'moellerbball', 'tonight', 'guyu2019s', 'happy', 'tonight', 'great', 'job', 'menu2014keep', 'rolling', 'httpstu2026']"
177,"['rt', 'tawarxhati', 'may', 'look', 'happy', 'outside']"
178,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
179,"['stephanator_8so', 'happy', 'youu2019re', 'back', 'ud83eudd73']"
180,"['laurnie23nothing', 'like', 'babies', 'make', 'heart', 'happy']"
181,"['fastfox5gives', 'cheered', 'positive', 'happy', 'hug', 'friendship']"
182,"['rt', 'kimdionysus', 'hobiu2019s', 'happy', 'little', 'sounds', 'ud83eudd7a', 'httpstcoxu5a0s8f85']"
183,"['rt', 'rackedupsb', 'niggas', 'tryna', 'make', 'sure', 'u', 'gts', 'happy', 'n', 'u', 'complaining', 'smh']"
184,"['tatasterrariumm', 'happy', 'birthday', 'ud83eudd73']"
185,"['rt', 'tatiana5oz', 'u201dlearn', 'enjoy', 'every', 'minute', 'life', 'happy', 'dont', 'wait', 'something', 'outside', 'make', 'happy', 'inu2026']"
186,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
187,"['rt', 'nuriavxii', 'normalize', 'privacy', 'private', 'life', 'happy', 'one']"
188,"['aiww', 'sandy_english', 'r', 'u', 'happy', '161project', 'backtracked', 'main', 'causes', 'american', 'revolutionu202httpstcolv0bhjxo53']"
189,"['rt', 'otakettea', 'hes', 'perfect', 'im', 'happy', 'sungjinnwoo', 'sololeveling', 'ud83dudda4ud83dudc9httpstcomekhi4eedo']"
190,"['rt', 'fcbheadquarters', 'klopp', 'december', 'dont', 'think', 'mr', 'simeone', 'running', 'living', 'room', 'happy', 'got', 'liverpoolnnhe', 'didu2026']"
191,"['little', 'bit', 'older', 'lot', 'fabulous', 'u272happy', 'birthday', 'queen', 'andrea', 'brillantesnnhappybirthdayblytheu202httpstcofsmkktbztd']"
192,"['rt', 'mermaidmrym', 'itu2019s', 'okay', 'get', 'sad', 'itu2019s', 'okay', 'cry', 'canu2019t', 'happy', '24itu2019s', 'normal', 'feel', 'emotions', 'youu2019re', 'going', 'geu2026']"
193,"['really', 'hard', 'time', 'looking', 'body', 'mirror', 'avoid', 'costs', 'iu2019m', 'happy', 'mu202httpstcomft6tvzqp4']"
194,"['even', 'made', 'happy']"
195,"['finally', 'got', 'mom', 'stop', 'denying', 'im', 'bisexual', 'years', 'took', 'came', 'around', 'couldnt', 'happyud83dude01']"
196,"['rt', 'clydehusky', 'man', 'nico', 'born', 'way', 'straight', 'leg', 'shepherd', 'syndrome', 'kneecap', 'still', 'smiles', 'amp', 'happy', 'pawfect', 'isu2026']"
197,"['rt', 'cecysux', 'hope', 'genuinely', 'happy', 'one', 'day', 'bro']"
198,"['rt', 'reenyos', 'hi', 'episode', 'made', 'happy', 'drew', 'ud83dudc9eud83dudc96ud83dudc9eud83cudf38ud83dudc93ud83dudc9e', 'barchie', 'riverdale', 'httpstcomlh78nrspl']"
199,"['themaskedsinger', 'thats', 'jojo', 'overly', 'happy', 'assud83eudd23ud83eudd23ud83eudd2httpstcobgoyg9xeyx']"
200,"['rt', 'alyssa_schoener', 'youu2019re', 'happy', 'college', 'switching', 'online', 'classes', 'ur', 'friends', 'spend', 'rest', 'su2026']"
201,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
